consecutivo,tipoacuerdo,municipio,cod_municipio,subregion,fase,nropobla,aportegob,aportemun,aporteotr,fechainicio,fechafin,cantidadtotal,departamento,cod_divipola_depto,municipio_subsidio,cod_divipola_mun,programa,anio_asignacion,estado_postulacion,hogares,valor_asignado,tiene_subsidio
2020071272,Gestion,Sonsón,5756,Oriente,Fase II,12000,15000000,5000000,0,2020-10-01,2021-06-30,4,ANTIOQUIA,5,SONSÓN,5756,Bolsa Atentados terroristas,2007,Asignados,22,188496000,Con subsidio
2020071361,Viabilidad,Granada,5313,Oriente,Fase I,200,20000000,0,0,2020-10-01,2020-12-31,30,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071986,Ejecucion,Turbo,5837,Urabá,Fase II,130191,12500000,4000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,TURBO,5837,MI CASA YA,2024,Asignados,2,52000000,Con subsidio
2020071986,Ejecucion,Turbo,5837,Urabá,Fase II,130191,12500000,4000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,TURBO,5837,Casa Digna Vida Digna,2025,Asignados,43,670800000,Con subsidio
2020071986,Ejecucion,Turbo,5837,Urabá,Fase II,130191,12500000,4000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,TURBO,5837,MI CASA YA,2016,Asignados,1,13789100,Con subsidio
2020071986,Ejecucion,Turbo,5837,Urabá,Fase II,130191,12500000,4000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,TURBO,5837,Bolsa Desplazados,2010,Asignados,113,1699500000,Con subsidio
2020071369,Viabilidad,Granada,5313,Oriente,Fase I,60,90000000,0,0,2020-09-15,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071634,Ejecucion,Urrao,5847,Suroeste,Fase I,357,150000000,20000000,0,2020-10-01,2021-06-30,1,ANTIOQUIA,5,URRAO,5847,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,5,64375000,Con subsidio
2020070201,Ejecucion,Zaragoza,5895,Bajo Cauca,Fase I,25210,12500000,4500000,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071123,Viabilidad,Jardín,5364,Suroeste,Fase I,14311,100000000,0,0,2020-09-15,2020-12-31,40,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070203,Ejecucion,Zaragoza,5895,Bajo Cauca,Fase I,25210,3000000,1000000,0,2020-10-01,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070206,Ejecucion,Zaragoza,5895,Bajo Cauca,Fase I,25210,10000000,5000000,0,2021-01-06,2021-06-30,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071347,Viabilidad,Peque,5543,Occidente,Fase I,1000,30000000,15000000,0,2020-10-01,2020-12-31,46,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070307,Gestion,San Andrés de Cuerquia,5647,Norte,Fase I,1084,0,0,0,2020-09-15,2020-12-23,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071420,Viabilidad,San Jerónimo,5656,Occidente,Fase I,60,20000000,7000000,0,2020-10-01,2020-12-31,41,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070161,Gestion,San José de la Montaña,5658,Norte,Fase I,3760,0,0,0,2020-09-15,2020-12-23,1,ANTIOQUIA,5,SAN JOSÉ DE LA MONTAÑA,5658,MI CASA YA,2021,Asignados,1,27255780,Con subsidio
2020070171,Viabilidad,San José de la Montaña,5658,Norte,Fase I,115,100000000,0,0,2020-09-15,2020-12-31,31,ANTIOQUIA,5,SAN JOSÉ DE LA MONTAÑA,5658,MI CASA YA,2021,Asignados,1,27255780,Con subsidio
2020070490,Gestion,Chigorodó,5172,Urabá,Fase I,2000,0,0,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070025,Ejecucion,Cisneros,5190,Nordeste,Fase II,320,0,20000000,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020072124,Ejecucion,Concepción,5206,Oriente,Fase I,4367,20000000,3000000,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071833,Ejecucion,Concordia,5209,Suroeste,Fase I,320,20000000,3000000,0,2021-01-01,2021-12-31,1,ANTIOQUIA,5,CONCORDIA,5209,Programa Vivienda Gratuita Fase I,2015,Asignados,2,70740000,Con subsidio
2020071845,Gestion,Concordia,5209,Suroeste,Fase I,30,0,0,0,2020-09-01,2020-12-31,1,ANTIOQUIA,5,CONCORDIA,5209,Programa Vivienda Gratuita Fase I,2015,Asignados,2,70740000,Con subsidio
2020070475,Ejecucion,Fredonia,5282,Suroeste,Fase I,280,20000000,3000000,0,2021-01-01,2021-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020071127,Gestion,Fredonia,5282,Suroeste,Fase I,40,0,0,0,2020-09-01,2020-12-31,1,Sin dato,0,Sin dato,0,Sin subsidio asignado,0,Sin subsidio asignado,0,0,Sin subsidio
2020070694,Ejecucion,Guatapé,5321,Oriente,Fase III,8709,20000000,3000000,0,2021-01-01,2021-12-31,1,ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Ordinaria,2005,Asignados,2,12023000,Con subsidio
