"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"META","50","ACACÍAS","50006","Bolsa Desplazados","2004","Subsidio Revocado","1","7000000"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2020","Asignados","27","632018160"
"TOLIMA","73","SAN ANTONIO","73675","Bolsa Desplazados","2009","Asignados","5","74535000"
"LA GUAJIRA","44","RIOHACHA","44001","Bolsa Desplazados","2010","Apto con subsidio vencido","1","15450000"
"CALDAS","17","MANIZALES","17001","MI CASA YA","2023","Asignados","10","290000000"
"CÓRDOBA","23","CERETÉ","23162","MI CASA YA","2020","Asignados","3","79002270"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2017","Asignados","5","88526040"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2022","Asignados","9","190000000"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2019","Asignados","8","165623200"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2024","Asignados","54","1404000000"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2017","Asignados","1","14754340"
